Namespace,Location,Name,Type
DR1,003be0c4,hs_objmodel_rot_set,Function
DR1,417674,hs_pb_common_font_cno_set,Function
DR1,004389d4,hs_pb_top_update_frame,Function
DR1,004696e4,dr1_survival_ui_item_can_create,Function
DR1,00420fe0,hs_pb_common_plate_v_draw,Function
DR1,00449d08,hs_trial_giron_nico_gaya_set,Function
DR1,004282b0,hs_pb_kotodama_update,Function
DR1,438428,hs_pb_top_font_set,Function
DR1,003a62bc,hs_camera_reset,Function
DR1,0041e920,hs_pb_backlog_change_init,Function
DR1,003a96ac,hs_charamodel_nextfree,Function
DR1,00457e10,hs_trial_mtb_ui_beat_button_set,Function
DR1,438680,hs_pb_top_close_update,Function
DR1,0046db0c,dr1_survival_ui_class_target_decide,Function
DR1,003beb88,hs_objmodel_command_set,Function
DR1,004205e8,hs_pb_common_cursor_draw,Function
DR1,0040eb6c,hs_tansaku_save_return,Function
DR1,00415c34,hs_texdata_free,Function
DR1,0043d9dc,hs_trial_bullet_key_set,Function
DR1,418338,hs_system_guide_font_cno_clear,Function
DR1,455414,hs_trial_mtb_ui_control,Function
DR1,003a247c,hs_bgmodel_group_max,Function
DR1,0039f290,hs_bgmodel_overlay_color_set,Function
DR1,0044ed28,hs_trial_effect_control,Function
DR1,003b90d0,hs_fonthit_control,Function
DR1,004593d8,hs_trial_nicotext_miss_start,Function
DR1,003c5ca0,hs_result_mtb_hi_hit_ratio_get,Function
DR1,0042e194,hs_pb_map_pageout_end,Function
DR1,408640,hs_sound_se_play2,Function
DR1,00434bfc,hs_pb_option_mode_get,Function
DR1,003f36a4,hs_script_mode_Time_Countdown,Function
DR1,415498,hs_tansaku_dataload_control,Function
DR1,0043d218,hs_trial_bullet_free,Function
DR1,003c6c50,hs_result_phase_open,Function
DR1,0040962c,hs_sound_visualizer_draw,Function
DR1,003d1b34,hs_screen_tansaku_data_set,Function
DR1,00409cb0,hs_sound_visualizer_at_gallery_draw,Function
DR1,004081d8,hs_skill_speak_check,Function
DR1,00408cb8,hs_sound_bgm_stop,Function
DR1,0044ddd4,hs_trial_dataload_control,Function
DR1,003bdcc8,hs_objmodel_data_set,Function
DR1,003b9048,hs_fonthit_all_close,Function
DR1,003a6414,hs_camera_speed_type_set,Function
DR1,003addb8,hs_charamodel_nextload,Function
DR1,409148,hs_sound_se_voice_stop,Function
DR1,409210,hs_sound_visualizer_cleanup,Function
DR1,0041d9f4,Dr1_Survival_GetExpTableCollectParam,Function
DR1,00436ec8,hs_pb_report_list_draw_param_get,Function
DR1,409224,hs_sound_visualizer_end,Function
DR1,00451be8,hs_trial_mtb_stage_data_init,Function
DR1,003b9d84,hs_light_sub_type_set,Function
DR1,003c6068,hs_result_ana_hi_hit_score_get,Function
DR1,458184,hs_trial_mtb_ui_stage_set,Function
DR1,409240,hs_sound_visualizer_on,Function
DR1,00416e00,hs_ui_texdata_load_update,Function
DR1,0046efac,dr1_sv_ui_update_frame,Function
DR1,0041d8e8,Dr1_Survival_GetCollectHPParam,Function
DR1,409508,hs_sound_visualize_alpha_get,Function
DR1,0044ab7c,hs_trial_complete_init,Function
DR1,0041913c,hs_ui_palette_shift,Function
DR1,003dbabc,hs_script_error_set,Function
DR1,0044d32c,hs_trial_cursol_ok,Function
DR1,0045a738,hs_trial_nicotext_miss_hit,Function
DR1,0045cc20,hs_trial_normal_window_simple_start,Function
DR1,004173e8,hs_ui_textdata_free,Function
DR1,003c4de8,hs_result_resource_load_update,Function
DR1,0045054c,hs_trial_giron_window_giron_change,Function
DR1,003c59a8,hs_result_mtb_hit_score_get,Function
DR1,00422bf8,hs_pb_common_list_move_ctrl,Function
DR1,004505d4,hs_trial_giron_window_play_icon_set,Function
DR1,00415cac,hs_texdata_get_tp_cmn_name,Function
DR1,0041fd38,hs_pb_release,Function
DR1,00421f94,hs_pb_open_init_on_sequence,Function
DR1,0044a3dc,hs_trial_update_frame,Function
DR1,0045aefc,hs_trial_nicotext_kotodama_no_get,Function
DR1,00425dcc,hs_pb_item_draw,Function
DR1,0046daf4,dr1_survival_ui_get_now_state,Function
DR1,003f4f84,hs_script_test_exec,Function
DR1,003b9da8,hs_light_sub_mode_set,Function
DR1,004191c8,hs_ui_passing_frame_check,Function
DR1,0045b970,hs_trial_nicotext_weak_center_pos_get,Function
DR1,450588,hs_trial_giron_window_change_check,Function
DR1,0042c784,hs_pb_loading_anm_update,Function
DR1,004385fc,hs_pb_top_pageout_end,Function
DR1,0043d800,hs_trial_bullet_start,Function
DR1,004092b0,hs_sound_visualizer_time_change,Function
DR1,0045eb94,hs_trial_normal_window_update_frame,Function
DR1,003bec98,hs_result_cptr_hiscore_check,Function
DR1,0039e0d4,hs_bg2d_set,Function
DR1,003a665c,hs_camera_debug_pad_start,Function
DR1,003cb98c,hs_savedata_Load_ScriptMode,Function
DR1,004386b4,hs_pb_top_change_update,Function
DR1,0042333c,hs_pb_common_page_num_draw,Function
DR1,003a2644,hs_bgmodel_nextload_check,Function
DR1,0042e20c,hs_pb_map_change_update,Function
DR1,0042b85c,hs_pb_kotodama_icn_is_loaded_at,Function
DR1,0044a7cc,hs_trial_get_saiban_mode,Function
DR1,0044a15c,hs_trial_mtb_start,Function
DR1,003bd5e4,tex_loading_free,Function
DR1,0043add0,hs_trial_anagram_text_target_hit,Function
DR1,003cd61c,hs_savedata_subtitle_make,Function
DR1,0046e464,dr1_survival_ui_file_loading_stop,Function
DR1,003c66d4,hs_result_chapter_rank_calc,Function
DR1,0042050c,hs_pb_common_icon_display_draw,Function
DR1,00423bcc,hs_pb_common_chara_is_dead,Function
DR1,0040884c,hs_sound_se_stop,Function
DR1,00449d54,hs_trial_giron_chara_set,Function
DR1,003f7ea4,is_chapter_select_trial,Function
DR1,0043d0a4,hs_trial_anagram_ui_hit,Function
DR1,0043cf50,hs_trial_anagram_ui_letter_set,Function
DR1,004211cc,hs_pb_common_cursor_alpha_update,Function
DR1,0044a14c,hs_trial_criminal_select_ret,Function
DR1,003d20d0,hs_screen_tansaku_help_icon_set,Function
DR1,0039f4b4,hs_model_all_mode_check,Function
DR1,003d56fc,hs_script_ctr_clear_message_window_font,Function
DR1,423734,hs_pb_common_list_scrollbar_draw,Function
DR1,003c6180,hs_result_ana_hit_score_calc,Function
DR1,00409e90,hs_system_dialog_Ctrl,Function
DR1,437954,hs_pb_system_cursor_set,Function
DR1,0041fdcc,hs_pb_common_sprite_draw,Function
DR1,003d17f8,hs_screen_tansaku_start,Function
DR1,003b5130,hs_colorpal_ctr_grayscale,Function
DR1,00405c30,hs_sequence_update_frame,Function
DR1,003a77b4,hs_char2d_Posinit,Function
DR1,0041fbfc,hs_pb_common_textx_spritedata_get,Function
DR1,004163f8,hs_trophy_add,Function
DR1,0044990c,hs_trial_normal_talk_data_load,Function
DR1,00457f18,hs_trial_mtb_ui_miss,Function
DR1,0039f0a0,hs_bgmodel_nextfree,Function
DR1,0041edac,hs_pb_backlog_update,Function
DR1,0044c0a0,ifRight,Function
DR1,004186f8,hs_ui_color_add_blend,Function
DR1,0042c6ac,hs_pb_loading_pagein_init,Function
DR1,0044a200,hs_trial_mtb_ret,Function
DR1,409124,hs_sound_set_voice_pitch,Function
DR1,003f4a14,hs_script_pokemap_map_repeatchk,Function
DR1,003bc260,hs_nowloading_init,Function
DR1,0045f574,hs_trial_vibe_circle_hit_check,Function
DR1,003d222c,hs_screen_tansaku_camera_dir_icon_reset,Function
DR1,0041ef88,hs_backlog_drawstat_update,Function
DR1,003a6340,hs_camera_move_check,Function
DR1,004088d8,hs_sound_se_vol_set,Function
DR1,003a6550,hs_camera_rot_z_set,Function
DR1,450570,hs_trial_giron_window_close,Function
DR1,004090c0,hs_sound_se_voice_read_play_ep,Function
DR1,00421f58,hs_pb_common_script_fontflag_set,Function
DR1,003edd7c,hs_script_flash_mode,Function
DR1,0043cee8,hs_trial_anagram_ui_answer_start,Function
DR1,0041fc84,hs_pb_common_texmap_spritedata_get,Function
DR1,420690,hs_pb_common_selectpll_draw,Function
DR1,003dc530,Chk_Mess_Pos,Function
DR1,454268,hs_trial_mtb_text_control,Function
DR1,003c6d70,hs_result_phase_setparam,Function
DR1,003c5a88,hs_result_hi_hit_ratio_get,Function
DR1,0044c5dc,hs_trial_criminal_data_set,Function
DR1,00457d58,hs_trial_mtb_ui_lose_set,Function
DR1,0040efb8,hs_tansaku_free,Function
DR1,00449e38,hs_trial_status_speak_add_script,Function
DR1,00441b6c,mode_shoot_reload_bullet,Function
DR1,0045b844,hs_trial_nicotext_posofs_set_center,Function
DR1,433738,hs_pb_option_palette_restore,Function
DR1,0044e168,hs_trial_dataload_get_size,Function
DR1,0044f1c4,hs_trial_gage_free,Function
DR1,0045cbd4,hs_trial_normal_window_face_close_simple,Function
DR1,003c5d80,hs_result_hi_hit_score_get,Function
DR1,004538f8,hs_trial_mtb_text_all_close,Function
DR1,418764,hs_ui_color_rgb_interpolation,Function
DR1,004337cc,hs_pb_option_close_update,Function
DR1,424540,hs_pb_get_current,Function
DR1,003a7de0,hs_char2d_loadchk,Function
DR1,003adcd4,hs_charamodel_anime_set,Function
DR1,003c5124,hs_result_hi_limit_time_get,Function
DR1,00449a94,hs_trial_status_reset2,Function
DR1,003a65a4,hs_camera_fov_set,Function
DR1,003ae138,hs_charamodel_color_check,Function
DR1,0041589c,hs_tansaku_dataload_get_addr,Function
DR1,0042e1d8,hs_pb_map_close_update,Function
DR1,003a31c8,hs_briefing_close,Function
DR1,00466e20,Dr1_survival_ui_collect_get_result,Function
DR1,00415a0c,hs_texdata_load,Function
DR1,003c64a0,hs_result_phase_score_rank_get,Function
DR1,450000,hs_trial_giron_window_init,Function
DR1,00408e04,hs_sound_se_voice_fileno_get,Function
DR1,003f4e78,hs_script_pokemap_jmp_mapno,Function
DR1,00416d34,hs_trophy_flag,Function
DR1,0044a348,hs_trial_save_memory_get_no,Function
DR1,0046e110,dr1_survival_ui_setup_ticket,Function
DR1,0040e748,hs_tansaku_start,Function
DR1,442360,hs_trial_camera_chara_init,Function
DR1,003b9d4c,hs_light_main_set,Function
DR1,00457f58,hs_trial_mtb_ui_fiver_end,Function
DR1,0045b86c,hs_trial_nicotext_close,Function
DR1,003d2524,hs_screen_tansaku_target_icon_pos_set,Function
DR1,0039f368,hs_bgmodel_overlay_color_off,Function
DR1,00457b1c,hs_trial_mtb_ui_cutin,Function
DR1,00438df8,hs_trial_anagram_text_init,Function
DR1,0043d934,hs_trial_bullet_vib_hit_set,Function
DR1,003a66f4,hs_camera_control,Function
